,МУ ВСЕГО,МУ Зерновые плюс зернобоб,МУ Картофель,МУ Овощи,МУ Подсолнечник,Энерг мощ лс/100га,Апр_R,Май_R,Июн_R,Year_Sum_R,Sum_Mar-May_R,Sum_Sen-Nov_R,Мар_t,Май_t,T_год_ср,Sum_Mar_Aug_T,ГТК,Зерновые т/га,Зерн и зернобоб т/га,Масличные т/га,Масличные 1 т/га,Зернобоб 1 т/га,Зерн и зернобоб 1 т/га,Картофель т/га,Овощи откр гр 1 т/га
2010.0,113.85,89.97,595.82,65.16,103.26,260,24.25,76.5,24.049999999999997,596.7,123.80000000000001,191.8,-0.8,17.25,8.875,3004.75,0.8064486499809376,1.7273641055148978,1.6810482754126137,11.700842241658567,1.27,1.31,1.8800000000000001,4.656136820925553,9.1
2011.0,97.98,74.74,694.06,106.64,92.08,229,30.1,53.25,101.85,450.70000000000005,91.1,57.099999999999994,-2.2,16.799999999999997,7.295833333333333,2601.0,0.9032525868292292,3.404450864442739,3.2598307760483025,20.803413751062177,2.12,1.65,3.3,9.326466992665038,10.690000000000001
2012.0,97.14,75.7,97.03,42.87,85.77,222,57.35,42.2,75.55,669.4,125.75,142.55,-1.75,18.45,8.1625,2828.8500000000004,1.2143070101488487,3.4766916320457724,3.341062330333383,18.488919569527045,1.9100000000000001,1.61,3.4200000000000004,8.464570960475118,10.49
2013.0,92.7,70.2,133.58,23.74,94.16,216,9.55,22.200000000000003,58.85,548.25,97.85,191.15,-2.0,19.4,8.654166666666667,2715.65,1.0023496240601504,3.782354438110749,3.6787647331560067,22.196643103388237,2.2600000000000002,1.34,3.75,8.415659281565928,10.379999999999999
2014.0,87.66,72.48,143.06,159.91,85.33,216,46.8,58.85,67.05000000000001,438.65,118.9,57.35000000000001,4.2,18.3,8.100000000000001,2825.25,0.8520452753584319,4.545081892093584,4.438801158544264,17.398522061754516,1.7600000000000002,1.7600000000000002,4.45,10.762866666666667,11.120000000000001
2015.0,93.72,86.66,316.68,211.62,68.61,219,72.7,33.6,86.55000000000001,544.75,134.1,111.9,2.45,15.55,8.804166666666667,2674.6499999999996,0.695340870161014,3.98860878164049,3.957644157814871,21.388075186134504,2.16,1.98,3.97,11.555753018910913,11.66
2016.0,101.26,95.4,521.36,234.49,86.67,224,64.5,78.65,49.3,731.6499999999999,188.9,151.95,2.9,14.85,8.145833333333332,2822.8999999999996,1.2298996896805499,4.781962408497992,4.7365676585504355,25.164500526898863,2.54,2.2,4.7700000000000005,11.80237005117156,11.93
2017.0,108.07,104.88,342.15,248.57,102.84,223,32.0,35.05,47.8,541.95,89.05000000000001,154.55,4.2,13.899999999999999,8.529166666666667,2682.3999999999996,0.7356498076851296,4.8341338630890025,4.7763643146450665,18.691966254962505,1.89,2.08,4.8,12.335184135977338,11.53
2018.0,106.52,112.32,633.66,242.15,94.8,219,34.65,30.799999999999997,32.85,568.25,142.25,66.6,-4.5,18.0,7.970833333333333,2614.8,0.8560441131785441,4.700466497031383,4.584563722038672,25.987631145854763,2.6100000000000003,1.97,4.61,12.429332585530007,11.84
2019.0,107.04,113.55,599.76,456.54,94.97,241,43.349999999999994,53.3,8.6,463.35,135.0,95.9,2.6,16.85,9.320833333333335,2784.15,0.7517729559582265,4.904475128693724,4.863314429741651,26.344789796441813,2.6399999999999997,2.25,4.87,11.721632047477744,11.86
